번호,발표연도,가수,곡명,병기,iTunes가수,iTunes곡명,음반,음반연도,판
66,1988,무한궤도,그대에게,,무한궤도,그대에게,88 MBC 대학가요제,1988,2026-09-13 14:39
67,1988,박남정,널 그리며,,박남정,널 그리며,널 그리며,1988,2026-09-13 14:39
68,1988,변진섭,홀로된다는 것,,변진섭,홀로 된다는 것,홀로 된다는 것,1989,2026-09-13 14:39
69,1988,이문세,가로수 그늘 아래 서면,,이문세,가로수 그늘아래 서면,5집,1988,2026-09-13 14:39
70,1988,이문세,광화문 연가,,이문세,광화문 연가,5집,1988,2026-09-13 14:39
71,1988,이문세,붉은 노을,,이문세,붉은 노을,5집,1987,2026-09-13 14:39
72,1988,이상우,슬픈 그림 같은 사랑,,이상우,슬픈 그림같은 사랑,그녀를 만나는 곳 100m 전,1989,2026-09-13 14:39
73,1988,정수라,환희,,정수라,환희,가요산책 2,1994,2026-09-13 14:39
74,1988,조용필,서울 서울 서울,,조용필,서울 서울 서울,88 Cho Yong Pil 10th,1988,2026-09-13 14:39
75,1988,주현미,신사동 그 사람,,주현미,신사동 그사람,주현미 2집,1990,2026-09-13 14:39
76,1989,나미,인디언 인형처럼,Like an Indian Doll,나미,Like an Indian Doll,아무말 않으리,1989,2026-09-13 14:39
77,1989,변진섭,너에게로 또 다시,,변진섭,너에게로 또 다시,너에게로 또 다시,1989,2026-09-13 14:39
78,1989,변진섭,숙녀에게,,변진섭,숙녀에게,너에게로 또 다시,1989,2026-09-13 14:39
79,1989,변진섭,우리의 사랑이 필요한 거죠,,변진섭,우리의 사랑이 필요한거죠 (불우청소년을 위한 노래),너에게로 또 다시,1989,2026-09-13 14:39
80,1989,변진섭,희망사항,,변진섭,희망사항,너에게로 또 다시,1989,2026-09-13 14:39
81,1989,이승철,마지막 콘서트,,이승철,마지막 콘서트,Part 2,1989,2026-09-13 14:39
82,1989,이승철,소녀시대,,이승철,소녀시대,Part 2,1989,2026-09-13 14:39
83,1989,이승철,안녕이라고 말하지마,,이승철,안녕이라고 말하지마,HIT BANK,1989,2026-09-13 14:39
84,1989,이승철,잠도 오지 않는 밤에,,이승철,잠도 오지 않는 밤에,안녕이라고 말하지마,1988,2026-09-13 14:39
85,1989,이승환,텅 빈 마음,,이승환,텅 빈 마음,B.C 603,1989,2026-09-13 14:39
86,1989,이지연,바람아 멈추어다오,,이지연,바람아 멈추어다오,그 후론,1989,2026-09-13 14:39
87,1989,조용필,Q,,조용필,Q,"Q (10th, Pt. 2)",1989,2026-09-13 14:39
88,1989,주현미,짝사랑,,주현미,짝사랑,리듬파티 1집,1987,2026-09-13 14:39
89,1989,푸른하늘,겨울바다,,푸른하늘,겨울바다,푸른하늘 2집 (눈물나는 날에는),1989,2026-09-13 14:39
90,1989,해바라기,사랑으로,,해바라기,사랑으로,89 해바라기: 사랑으로 / 사랑의 진실 / 나는 자유인인가,1989,2026-09-13 14:39
91,1989,현철,봉선화 연정,,현철,봉선화 연정,현철 히트전집 2,1989,2026-09-13 14:39
92,1990,강수지,보라빛 향기,,강수지,보라빛 향기,최고인기가수 최고인기가요 3집,1990,2026-09-13 14:39
93,1990,김민우,입영열차 안에서,,김민우,입영열차안에서,김민우 1집,1990,2026-09-13 14:39
94,1990,김완선,삐에로는 우릴 보고 웃지,Piero Laughs At Us,김완선,Piero Laughs At Us,Piero Laughs At Us,1990,2026-09-13 14:39
95,1990,김지연,찬바람이 불면,,김지연,찬바람이 불면,김지연 1집: 계절이 끝나갈 무렵 / 찬바람이 불면,1990,2026-09-13 14:39
96,1990,김흥국,호랑나비,,김흥국,호랑나비,바람부는 날이면/어느날 카페에서/잊어 버리세요,1990,2026-09-13 14:39
97,1990,노사연,만남,,노사연,만남,노사연 2집,1990,2026-09-13 14:39
98,1990,민해경,보고 싶은 얼굴,,민해경,보고 싶은 얼굴,히스토리 40년,1990,2026-09-13 14:39
99,1990,신승훈,날 울리지마,,신승훈,날 울리지마,Endless Ballads,1991,2026-09-13 14:39
100,1990,신승훈,미소 속에 비친 그대,,신승훈,미소 속에 비친 그대,보이지 않는 사랑,1990,2026-09-13 14:39
101,1990,심신,오직 하나뿐인 그대,,심신,오직 하나뿐인 그대,그대 슬픔까지 사랑해,1990,2026-09-13 14:39
102,1990,윤상,이별의 그늘,,윤상,이별의 그늘,1집 윤상,1991,2026-09-13 14:39
103,1990,태진아,거울도 안 보는 여자,,태진아,거울도 안보는 여자,거울도 안보는 여자/그대 곁에 잠들고 싶어,1990,2026-09-13 14:39
104,1990,푸른하늘,눈물 나는 날에는,,푸른하늘,눈물나는 날에는,푸른하늘 2집 (눈물나는 날에는),1989,2026-09-13 14:39
105,1990,현철,싫다 싫어,,현철,싫다 싫어,현철 4집,1990,2026-09-13 14:39
106,1991,015B,너에게 들려주고 싶은 이야기,,015B,너에게 들려주고 싶은 이야기,Second Episode,1991,2026-09-13 14:39
107,1991,김현식,내사랑 내곁에,,김현식,내 사랑 내곁에,김현식 Vol.6,1991,2026-09-13 14:39
108,1991,박정운,오늘 같은 밤이면,,박정운,오늘 같은 밤이면 (그리움),2집 오늘같은 밤이면,1992,2026-09-13 14:39
109,1991,신승훈,보이지 않는 사랑,,신승훈,보이지 않는 사랑,보이지 않는 사랑,1991,2026-09-13 14:39
110,1991,신해철,나에게 쓰는 편지,,신해철,나에게 쓰는 편지,Myself,1991,2026-09-13 14:39
111,1991,신해철,재즈 카페,,신해철,재즈 카페,Myself,1991,2026-09-13 14:39
112,1991,양수경,사랑은 차가운 유혹,,양수경,사랑은 차가운 유혹,양수경 골든,1992,2026-09-13 14:39
113,1991,이문세,옛사랑,,이문세,옛 사랑,이문세 7집 [VII],1991,2026-09-13 14:39
114,1991,푸른하늘,꿈에서 본 거리,,푸른하늘,꿈에서 본 거리,푸른하늘 4집 (꿈에서 본 거리),1991,2026-09-13 14:39
115,1992,015B,아주 오래된 연인들,,015B,아주 오래된 연인들,The Third Wave,1992,2026-09-13 14:39
116,1992,김건모,잠 못 드는 밤 비는 내리고,,김건모,잠못드는 밤 비는 내리고,Sleepless Rainy Night,1992,2026-09-13 14:39
117,1992,넥스트,인형의 기사,,넥스트,"인형의 기사, Pt. 2",Home,1993,2026-09-13 14:39
118,1992,노이즈,너에게 원한건,,노이즈,너에게 원한건,Sound Shock,1992,2026-09-13 14:39
119,1992,변진섭,그대 내게 다시,,변진섭,그대 내게 다시,변진섭5집-그대 내게 다시,1992,2026-09-13 14:39
120,1992,서태지와 아이들,이 밤이 깊어가지만,,서태지와 아이들,이밤이 깊어가지만,Seotaiji and Boys,1992,2026-09-13 14:39
121,1992,서태지와 아이들,환상속의 그대,You in the Fantasy,서태지와 아이들,환상속의 그대,Seotaiji and Boys,1992,2026-09-13 14:39
122,1992,윤상,가려진 시간 사이로,,윤상,가려진 시간 사이로,"Yoon Sang, Pt. 1",1992,2026-09-13 14:39
123,1992,윤종신,너의 결혼식,,윤종신,너의 결혼식,Sorrow,1992,2026-09-13 14:39
124,1992,이덕진,내가 아는 한가지,,이덕진,내가 아는 한가지,Sad Wings Of Destiny,1992,2026-09-13 14:39
125,1992,이승철,오직 너뿐인 나를,,이승철,오직 너뿐인 나를,이승철 Best of Best,2003,2026-09-13 14:39
126,1992,이승환,한 사람을 위한 마음,,이승환,한 사람을 위한 마음,His Ballad I,1997,2026-09-13 14:39
127,1993,015B,신인류의 사랑,,015B,신 인류의 사랑,The Fourth Movement,1993,2026-09-13 14:39
128,1993,공일오비,어디선가 나의 노랠 듣고 있을 너,,015B,어디선가 나의 노랠 듣고 있을 너에게,The Fourth Movement,1993,2026-09-13 14:39
129,1993,김건모,핑계,,김건모,핑계,Excuses,1993,2026-09-13 14:39
130,1993,김현철,달의 몰락,,김현철,달의몰락,횡계에서 돌아오는 저녁,1993,2026-09-13 14:39
131,1993,듀스,나를 돌아봐,,듀스,나를 돌아봐,Deux,1993,2026-09-13 14:39
132,1993,듀스,우리는,,듀스,우리는,Deuxism,1993,2026-09-13 14:39
133,1993,서태지와 아이들,우리들만의 추억,,서태지와 아이들,우리들만의 추억,Seotaiji and Boys II,1993,2026-09-13 14:39
134,1993,서태지와 아이들,하여가,,서태지와 아이들,하여가,Seotaiji and Boys II,1993,2026-09-13 14:39
135,1993,신승훈,널 사랑하니까,,신승훈,널 사랑하니까,Because I Love You,1993,2026-09-13 14:39
136,1993,윤종신,오래전 그날,,윤종신,오래전 그날,The Natural,1993,2026-09-13 14:39
137,1994,015B,단발머리,,015B,단발머리,Big 5,1994,2026-09-13 14:39
138,1994,DJ DOC,슈퍼맨의 비애,Tragedy of Superman,DJ DOC,Tragedy of Superman,슈퍼맨의 비애,1994,2026-09-13 14:39
139,1994,룰라,100일째 만남,,룰라,100일째 만남,Roots Of Reggae,1994,2026-09-13 14:39
140,1994,룰라,비밀은 없어,,룰라,비밀은 없어,Roots Of Reggae,1994,2026-09-13 14:39
141,1994,마로니에,칵테일 사랑,,마로니에,칵테일 사랑,칵테일 사랑,1994,2026-09-13 14:39
142,1994,박진영,날 떠나지마,,박진영,날 떠나지마,Blue City,1994,2026-09-13 14:39
143,1994,서태지와 아이들,교실 이데아,,서태지와 아이들,교실 이데아,Seotaiji and Boys III,1994,2026-09-13 14:39
144,1994,서태지와 아이들,발해를 꿈꾸며,,서태지와 아이들,발해를 꿈꾸며,Seotaiji and Boys III,1994,2026-09-13 14:39
145,1994,신승훈,그 후로 오랫동안,,신승훈,그 후로 오랫동안,그 후로 오랫동안...,1994,2026-09-13 14:39
146,1994,윤도현,사랑 Two,,윤도현,사랑 Two,가을 우체국 앞에서,1994,2026-09-13 14:39
147,1994,전람회,기억의 습작,,전람회,기억의 습작,Exhibition,1994,2026-09-13 14:39
148,1994,투투,일과 이분의 일,,투투,일과 이분의 일,투투(Two Two) 일과 이분의 일,1994,2026-09-13 14:39
149,1995,DJ DOC,머피의 법칙,Murphy's Law,DJ DOC,머피의 법칙,머피의 법칙,1995,2026-09-13 14:39
150,1995,R.ef,이별공식,,R.ef,이별 공식,Rave Effect,1995,2026-09-13 14:39
151,1995,김건모,잘못된 만남,Wrongful Meeting,김건모,잘못된 만남,Wrongful Meeting,1995,2026-09-13 14:39
152,1995,노이즈,상상속의 너,,노이즈,상상속의 너,Fantasized You,1995,2026-09-13 14:39
153,1995,녹색지대,준비 없는 이별,,녹색지대,준비 없는 이별,녹색지대Ⅱ,1995,2026-09-13 14:39
154,1995,룰라,날개 잃은 천사,Angel Without Wings,룰라,날개 잃은 천사,날개 잃은 천사,1995,2026-09-13 14:39
155,1995,박미경,이브의 경고,,박미경,이브의 경고 (2009 Remastering),2010 Deluxe Edition,1995,2026-09-13 14:39
156,1995,박진영,엘리베이터,Elevator,박진영,엘리베이터,딴따라,1995,2026-09-13 14:39
157,1995,삐삐밴드,유쾌한 씨의 껌씹는 방법,,삐삐밴드,유쾌한 씨의 껌씹는 방법,The Complete Best 1995-1997 (리마스터링),2004,2026-09-13 14:39
158,1995,서태지와 아이들,컴백홈,Come Back Home,서태지와 아이들,Come Back Home,Seotaiji and Boys IV,1995,2026-09-13 14:39
159,1995,솔리드,이 밤의 끝을 잡고,,솔리드,이 밤의 끝을 잡고,나만의 친구 / 이밤의 끝을 잡고,1996,2026-09-13 14:39
160,1995,이소라,난 행복해,,이소라,난 행복해,이소라 Vol.1,1995,2026-09-13 14:39
161,1995,이승환,천일동안,,이승환,천일동안,Human,1995,2026-09-13 14:39
162,1995,터보,검은 고양이,,터보,검은 고양이,280km / h speed,1995,2026-09-13 14:39
163,1995,터보,나 어릴적 꿈,My Childhood Dream,터보,나 어릴적 꿈,280km / h speed,1995,2026-09-13 14:39
164,1995,패닉,달팽이,,패닉,달팽이,패닉 1집 (Panic),1995,2026-09-13 14:39
165,1996,DJ DOC,여름 이야기,,DJ DOC,여름 이야기,Summer,1996,2026-09-13 14:39
166,1996,H.O.T.,전사의 후예,,H.O.T.,전사의 후예 - 폭력시대,We Hate All Kinds of Violence... - The 1st Album,1996,2026-09-13 14:39
167,1996,H.O.T.,캔디,Candy,H.O.T.,Candy,We Hate All Kinds of Violence... - The 1st Album,1996,2026-09-13 14:39
168,1996,김건모,스피드,,김건모,스피드,Exchange Kg. M4,1996,2026-09-13 14:39
169,1996,김종서,아름다운 구속,,김종서,아름다운 구속,Do you remember,1996,2026-09-13 14:39
170,1996,박미경,기억속의 먼 그대에게,,박미경,기억속의 먼 그대에게,Far Away,1996,2026-09-13 14:39
171,1996,박진영,그녀는 예뻤다,,박진영,그녀는 예뻤다,썸머징글벨,1996,2026-09-13 14:39
172,1996,솔리드,천생연분,,솔리드,천생연분,Light Camera Action!,1990,2026-09-13 14:39
173,1996,양파,애송이의 사랑,,yangpa,애송이의 사랑,Yangpa,1996,2026-09-13 14:39
174,1996,언타이틀,책임져,,언타이틀,책임져,무제 (無題),1996,2026-09-13 14:39
175,1996,이정봉,어떤가요,,이정봉,어떤가요?,어떤가요,1996,2026-09-13 14:39
176,1996,쿨,운명,,쿨,운명,Destined For the Best,1996,2026-09-13 14:39
177,1996,클론,꿍따리 샤바라,Kkung Ttari Shabara,클론,꿍따리 샤바라,Are You Ready?,1996,2026-09-13 14:39
178,1996,클론,난,,클론,난!,Are You Ready?,1996,2026-09-13 14:39
179,1997,H.O.T.,We are the Future,,H.O.T.,We Are the Future,Wolf & Sheeps - The 2nd Album,1997,2026-09-13 14:39
180,1997,H.O.T.,행복,Full of happiness,H.O.T.,행복,Wolf & Sheeps - The 2nd Album,1997,2026-09-13 14:39
181,1997,S.E.S.,I'm Your Girl,,S.E.S.,I'm Your Girl,S.E.S. - The 1st Album,1997,2026-09-13 14:39
182,1997,김현정,그녀와의 이별,,김현정,그녀와의 이별,Legend,1997,2026-09-13 14:39
183,1997,유승준,가위,,유승준,가위,West Side,1997,2026-09-13 14:39
184,1997,이승환,가족,,이승환,가족,Cycle,1997,2026-09-13 14:39
185,1997,자우림,일탈,,자우림,일탈,Purple Heart,1997,2026-09-13 14:39
186,1997,젝스키스,연정,,젝스키스,연정,학원별곡,1997,2026-09-13 14:39
187,1997,젝스키스,폼생폼사,사나이 가는 길,젝스키스,사나이 가는 길 (폼생폼사),학원별곡,1997,2026-09-13 14:39
188,1997,젝스키스,학원별곡,,젝스키스,학원별곡,학원별곡,1997,2026-09-13 14:39
189,1997,터보,회상,,터보,회상,Born Again,1997,2026-09-13 14:39
190,1998,H.O.T.,열맞춰,,H.O.T.,열맞춰!,Resurretion - The 3rd Album,1998,2026-09-13 14:39
191,1998,S.E.S.,Dreams Come True,,S.E.S.,Dreams Come True,Sea & Eugene & Shoo - The 2nd Album,1998,2026-09-13 14:39
192,1998,S.E.S.,너를 사랑해,,S.E.S.,너를 사랑해,Sea & Eugene & Shoo - The 2nd Album,1998,2026-09-13 14:39
193,1998,신화,으쌰!으쌰!,으샤! 으샤!,신화,으쌰! 으쌰!,해결사 - The 1st Album,1998,2026-09-13 14:39
194,1998,유승준,나나나,,유승준,나나나,1998 V2: For Sale (NONE),1998,2026-09-13 14:39
195,1998,젝스키스,커플,,젝스키스,커플,Special,1998,2026-09-13 14:39
196,1998,조성모,To Heaven,,조성모,To Heaven,To Heaven,1998,2026-09-13 14:39
197,1998,조성모,불멸의 사랑,,조성모,불멸의 사랑,To Heaven,1998,2026-09-13 14:39
198,1998,코요태,순정,,코요태,순정,순정,1998,2026-09-13 14:39
199,1998,쿨,애상,Sorrow,쿨,애상,Cool 4,1998,2026-09-13 14:39
200,1998,핑클,내 남자친구에게,,핑클,내 남자 친구에게,Fine Killing Liberty : Blue Rain,1998,2026-09-13 14:39
201,1998,핑클,루비,루비 : 슬픈 눈물,핑클,루비 : 슬픈 눈물,Fine Killing Liberty : Blue Rain,1998,2026-09-13 14:39
202,1998,핑클,블루레인,Blue Rain,핑클,Blue Rain,Fine Killing Liberty : Blue Rain,1998,2026-09-13 14:39
203,1999,H.O.T.,아이야,I yah!,H.O.T.,아이야!,I yah! - The 4th Album,1999,2026-09-13 14:39
204,1999,S.E.S.,Twilight Zone,,S.E.S.,Twilight Zone,LOVE - The 3rd Album,1999,2026-09-13 14:39
205,1999,SKY (최진영),영원,,스카이,영원,Final Fantasy,1999,2026-09-13 14:39
206,1999,god,Friday Night,,지오디,Friday Night,Chapter 2,1999,2026-09-13 14:39
207,1999,god,사랑해 그리고 기억해,,지오디,사랑해 그리고 기억해,Chapter 2,1999,2026-09-13 14:39
208,1999,god,애수,,지오디,애수,Chapter 2,1999,2026-09-13 14:39
209,1999,god,어머님께,,지오디,어머님께,Chapter 1,1998,2026-09-13 14:39
210,1999,김현정,되돌아온 이별,,김현정,되돌아온 이별,A Sea Gull of Dream,1999,2026-09-13 14:39
211,1999,드렁큰타이거,너희가 힙합을 아느냐,Do You Know Hip Hop,드렁큰타이거,너희가 힙합을 아느냐?,Year of the Tiger,1999,2026-09-13 14:39
212,1999,박혜경,고백,,박혜경,고백,+01,1999,2026-09-13 14:39
213,1999,박혜경,주문을 걸어,,박혜경,주문을 걸어,+01,1999,2026-09-13 14:39
214,1999,박효신,바보,,박효신,바보,해줄 수 없는 일,1999,2026-09-13 14:39
215,1999,박효신,해줄 수 없는 일,,박효신,해줄 수 없는 일,해줄 수 없는 일,1999,2026-09-13 14:39
216,1999,베이비복스,Killer,,베이비복스,Killer,Come Come Come baby,1997,2026-09-13 14:39
217,1999,샵,가까이,,샵,가까이,The S#arp+2,1999,2026-09-13 14:39
218,1999,스페이스 에이,섹시한 남자,,스페이스 에이,섹시한 남자,Power Bit Techno Space a (NONE),1999,2026-09-13 14:39
219,1999,신화,T.O.P,,신화,T.O.P. (Twinkling of paradise),T.O.P - The 2nd Album,1999,2026-09-13 14:39
220,1999,양파,Addio,,yangpa,Addio,양파 3집,1999,2026-09-13 14:39
221,1999,유승준,비전,,유승준,비전,Over and Over,1999,2026-09-13 14:39
222,1999,유승준,연가,,유승준,연가,Over and Over,1999,2026-09-13 14:39
223,1999,유승준,열정,,유승준,열정,Now or Never,1999,2026-09-13 14:39
224,1999,이수영,I Believe,,이수영,I Believe,I Believe,1999,2026-09-13 14:39
225,1999,이적,Rain,,이적,Rain,Dead End,1999,2026-09-13 14:39
226,1999,이정현,와,Wa,이정현,와,Let's Go To My Star,1999,2026-09-13 14:39
227,1999,조성모,슬픈 영혼식,,조성모,슬픈 영혼식,For Your Soul,1999,2026-09-13 14:39
228,1999,진주,가니,,진주,가니,Soul,1999,2026-09-13 14:39
229,1999,코요태,실연,,코요태,실연,실연,1999,2026-09-13 14:39
230,1999,플라이 투 더 스카이,Day by Day,,플라이 투 더 스카이,Day by Day,Day by Day - The 1st Album,1999,2026-09-13 14:39
231,1999,핑클,White,화이트,핑클,화이트,Special,1999,2026-09-13 14:39
232,1999,핑클,영원한 사랑,,핑클,영원한 사랑,White,1999,2026-09-13 14:39
233,1999,핑클,자존심,,핑클,자존심,White,1999,2026-09-13 14:39
234,2000,DJ DOC,Run to You,,DJ DOC,Run to You,The Life... DOC Blues,2000,2026-09-13 14:39
235,2000,H.O.T.,Outside Castle,,H.O.T.,Outside Castle,Outside Castle - The 5th Album,2000,2026-09-13 14:39
236,2000,S.E.S.,감싸 안으며,,S.E.S.,감싸 안으며,A Letter from Greenland - The 4th Album,2000,2026-09-13 14:39
237,2000,TJ (장혁),HEY GIRL,,티제이,HEY GIRL,TJ 프로젝트 (장혁),2000,2026-09-13 14:39
238,2000,god,거짓말,Lies,지오디,거짓말,Chapter 3,2000,2026-09-13 14:39
239,2000,god,니가 필요해,,지오디,니가 필요해,Chapter 3,2000,2026-09-13 14:39
240,2000,김범수,하루,,김범수,하루 (Original Version),Remember,2000,2026-09-13 14:39
241,2000,김현정,멍,,김현정,멍,The Third Eye,2000,2026-09-13 14:39
242,2000,듀크,Party Tonight,,듀크,Party Tonight,Two House Prism,2000,2026-09-13 14:39
243,2000,드렁큰타이거,위대한 탄생,,드렁큰타이거,위대한 탄생,Drunken Tiger Best,2000,2026-09-13 14:39
244,2000,디바,Up & Down,,디바,Up & Down,Naughty,2000,2026-09-13 14:39
245,2000,롤러코스터,"힘을 내요, 미스터 김",,롤러코스터,"힘을 내요, 미스터 김",일상다반사(日常茶飯事),2000,2026-09-13 14:39
246,2000,룰라,풍변기곡,풍변기곡(風變旗曲),룰라,풍변기곡(風變旗曲),풍변기곡,2000,2026-09-13 14:39
