year,artist,title,search
2017,레드벨벳,빨간 맛,
2018,블랙핑크,뚜두뚜두,
2018,방탄소년단,IDOL,
2018,모모랜드,BBoom BBoom,
2019,방탄소년단,작은 것들을 위한 시,
2019,잔나비,주저하는 연인들을 위해,
2019,ITZY,달라달라,
2020,방탄소년단,Dynamite,
2020,블랙핑크,How You Like That,
2020,오마이걸,살짝 설렜어,
2020,아이유,에잇,
2021,방탄소년단,Butter,
2021,에스파,Next Level,
2021,브레이브걸스,롤린,
2021,STAYC,ASAP,
2022,뉴진스,Attention,
2022,아이브,LOVE DIVE,
2022,르세라핌,FEARLESS,
2022,빅뱅,봄여름가을겨울,
2023,뉴진스,Ditto,
2023,아이브,I AM,
2023,피프티피프티,Cupid,
2023,르세라핌,UNFORGIVEN,
2024,뉴진스,Supernatural,
2024,아일릿,Magnetic,
2024,에스파,Supernova,
2024,투어스,첫 만남은 계획대로 되지 않아,
2025,헌트릭스,Golden,케이팝 데몬 헌터스 Golden
1981,산울림,회상,산울림 창문너머 어렴풋이
1983,조용필,친구여,
1984,이문세,나는 행복한 사람,
1985,김수철,정신차려,
1986,이선희,알고 싶어요,
1987,양수경,사랑은 차가운 유혹,
1988,김완선,나 홀로 뜰 앞에서,
1989,동물원,혜화동,
1990,이승철,마지막 콘서트,
1991,푸른하늘,자아도취,
1991,윤상,너에게 배운 사랑,
1992,서태지와 아이들,환상속의 그대,
1993,공일오비,어디선가 나의 노랠 듣고 있을 너,
1994,투투,일과 이분의 일,
1995,노이즈,상상속의 너,
1995,터보,나 어릴적 꿈,
1996,젝스키스,학원별곡,
1996,양파,addio,양파 애송이의 사랑
1997,H.O.T.,We are the Future,
1997,코요태,순정,
1998,핑클,내 남자친구에게,
1998,유승준,나나나,
1999,드렁큰타이거,너희가 힙합을 아느냐,
1999,S.E.S.,Dreams Come True,
2000,이정현,와,
2000,베이비복스,Killer,
2001,왁스,오빠,
2002,싸이,새,
2002,비,나쁜 남자,
2003,이효리,Hey Mr. Big,
2004,신화,Brand New,
2004,휘성,With Me,
2005,김종국,한 남자,
2005,에픽하이,Fly,
2006,씨야,미친 사랑의 노래,
2006,이승기,내 여자라니까,
2007,FT아일랜드,사랑앓이,
2008,이승철,서쪽하늘,
2008,다비치,8282,
2009,2PM,Again & Again,
2009,브라운아이드걸스,아브라카다브라,
2010,비스트,쇼크,
2010,씨엔블루,외톨이야,
2011,아이유,너랑 나,
2011,미쓰에이,Good Bye Baby,
2012,인피니트,추격자,
2012,아이유,너의 의미,
2013,씨스타,Give It To Me,
2013,악동뮤지션,200%,
2014,태양,눈코입,
2015,아이유,스물셋,
2015,자이언티,양화대교,
2016,트와이스,TT,
2016,볼빨간사춘기,우주를 줄게,
2017,아이유,밤편지,
2017,워너원,에너제틱,
2018,아이콘,사랑을 했다,
2018,트와이스,What is Love?,
2019,화사,멍청이,
2019,폴킴,모든 날 모든 순간,
2020,지코,아무노래,
2020,아이즈원,Fiesta,
2021,아이유,라일락,
2021,악뮤,낙하,
2022,아이브,After LIKE,
2022,블랙핑크,Pink Venom,
2023,뉴진스,Super Shy,
2023,아이유,Love wins all,
2024,데이식스,Welcome to the Show,
2024,QWER,고민중독,
2024,엔믹스,Dash,
2025,베이비몬스터,DRIP,
2025,아이들,Girlfriend,
